FUA code,FUA name,FUA-code,X,Y,C_urban woody feature_FUA_%
AL001,Tirana,AL001,19.7796001,41.3387985,48.549466488
AL003,Elbasan,AL003,20.0557995,41.0553017,50.428206994
AL004,Shkodër,AL004,19.6004009,42.2663994,46.215726183
AL005,Vlorë,,19.4724998,40.4169998,29.848175581
AT001,Wien,*,16.4087009,48.282299,27.006669556
AT002,Graz,AT002,15.4849997,47.0167007,52.708308967
AT003,Linz,AT003,14.3323002,48.4095001,41.527214659
AT004,Salzburg,AT004,13.1542997,47.8198013,47.768946481
AT005,Innsbruck,AT005,11.2926998,47.1990013,42.805246700
AT006,Klagenfurt,AT006,14.4187002,46.6164017,64.375060696
BA001,Sarajevo,BA001,18.3490009,43.8522987,76.300118603
BA002,Banja Luka,BA002,17.1842995,44.8506012,60.044358999
BA003,Mostar,BA003,17.7539997,43.3907013,42.707967403
BA004,Tuzla,BA004,18.6306,44.4980011,62.010672465
BA005,Zenica,BA005,17.8897991,44.2131996,78.953904645
BE001,Bruxelles / Brussel,BE001,4.3340902,50.7529984,24.000867806
BE002,Antwerpen,*,4.46527,51.2737999,28.238180176
BE003,Gent,BE003,3.7008901,51.074501,17.562697164
BE004,Charleroi,BE004,4.4240298,50.3451996,27.125787137
BE005,Liège,BE005,5.5336699,50.594101,31.381839424
BE006,Brugge,BE006,3.22101,51.2019005,20.711562448
BE007,Namur,BE007,4.91608,50.4529991,31.951937735
BE008,Leuven,BE008,4.7872801,50.8883018,32.524012015
BE009,Mons,BE009,3.9144599,50.4490013,29.623930636
BE010,Kortrijk,BE010,3.2853899,50.8129005,13.120697545
BE011,Oostende,BE011,2.91558,51.1744003,7.944350041
BG001,Sofia,BG001,23.3771992,42.6921005,52.845776572
BG002,Plovdiv,BG002,24.7675991,42.1227989,35.544360630
BG003,Varna,BG003,27.6667004,43.1119995,52.559704333
BG004,Burgas,BG004,27.2639999,42.4150009,36.921283508
BG005,Pleven,BG005,24.5368004,43.4505005,17.950020596
BG006,Ruse,*,26.1049004,43.7896996,21.195270989
BG007,Vidin,BG007,22.8155994,44.0084,18.766673115
BG008,Stara Zagora,BG008,25.6364002,42.3661995,35.162904150
BG009,Sliven,BG009,26.3113003,42.6711006,47.442625271
BG010,Dobrich,BG010,27.7371006,43.5996017,19.018466391
BG011,Shumen,BG011,26.9552002,43.3077011,26.752615752
BG013,Yambol,BG013,26.4482002,42.3658981,13.029544098
BG014,Haskovo,BG014,25.5962009,41.8913002,30.272219114
BG015,Pazardzhik,BG015,24.3411999,42.2168007,16.749319765
